"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"BIH","Bosnia and Herzegovina","0","0","0","0","952.90393","1208.2316","2364.7607","3257.3284","3809.6196","4225.4243","4547.9727","4751.117","5136.5205","5373.1426","6200.6206","6479.66","7406.3477","8188.59","9028.865","9030.464","9347.584","9976.4795","10304.017","11016.583","11433.16","12013.982","12824.036","13735.078","14623.674"
"BLR","Belarus","5429.3213","5542.8525","5113.892","4826.3247","4357.754","3999.3242","4200.5947","4780.387","5265.244","5546.145","6027.325","6483.761","6962.7983","7644.9277","8809.527","10005.9375","11409.256","12781.81","14409.222","14580.581","15927.875","17166.695","17807.418","18298.848","18949.883","18389.744","18098.424","18915.94","19994.805"
"BLZ","Belize","3262.1958","3688.8083","4158.3257","4448.4966","4459.1196","4464.9893","4467.049","4537.058","4580.6416","4869.7773","5437.3843","5658.089","5873.411","6369.4575","6669.7217","6873.4155","7214.4673","7297.3984","7484.37","7403.044","7555.204","7694.355","7886.902","7913.0615","8179.4565","8371.374","8242.63","8352.944","8648.089"
"BOL","Bolivia","2402.7126","2560.1096","2606.0112","2723.8584","2851.8335","2985.65","3108.9104","3253.0476","3387.1309","3383.7097","3478.2024","3546.116","3623.0918","3721.056","3909.065","4134.6167","4386.5654","4629.6826","4925.9194","5045.331","5228.115","5524.718","5825.14","6231.2964","6593.233","6882.489","7147.8394","7480.077","7873.166"
"BRA","Brazil","6710.9644","6919.981","6925.38","7297.6836","7723.8994","8102.6685","8300.245","8594.562","8588.358","8624.4375","9073.977","9274.248","9581.993","9747.941","10460.551","11004.956","11659.393","12568.198","13332.144","13288.436","14320.369","15061.953","15506.555","16111.442","16358.391","15813.855","15331.549","15662.24","16096.401"
"BRB","Barbados","9601.754","9504.046","9133.076","9388.327","9743.985","10108.134","10658.681","11308.233","11811.275","11972.342","12734.217","12659.774","12917.435","13399.258","13905.82","14850.103","16099.495","16765.324","17170.592","16392.957","16164.981","16321.983","16582.13","16607.182","16861.346","17386.94","17947.963","18229.588","18554.129"
"BRN","Brunei Darussalam","54959.668","56957.047","59315.496","59221.63","60713.38","63092.957","64468.375","63095.777","62020.91","63432.254","65305.766","67184.35","69510.21","71514.39","72549.23","73930.48","78411.62","79631.195","78670.555","76961.81","78907.875","82502.94","83725.42","82263.5","80782.03","80177.76","78134.664","79789.484","80920.05"
"BTN","Bhutan","1527.318","1561.2686","1670.6802","1750.5233","1878.8977","2043.5356","2168.9915","2281.792","2389.0823","2555.9172","2732.095","2957.9175","3260.1924","3507.9346","3749.2415","4078.036","4430.007","5304.2183","5608.4077","5967.751","6674.863","7269.3433","7692.5815","7897.8545","8405.27","8949.837","9656.339","10173.051","10534.855"
"BWA","Botswana","5516.983","5946.13","6088.138","6190.3823","6392.2725","6818.1807","7174.1636","7722.3003","7667.6597","8347.874","8528.969","8574.344","9076.229","9506.492","9849.797","10421.372","11401.348","12409.298","13158.849","12007.232","12964.352","13838.603","14558.066","16310.103","17092.123","16724.518","17314.775","17784.85","18615.793"
"CAF","Central African Republic","637.67303","639.24786","595.124","593.82605","618.19037","658.19586","626.7927","654.729","676.6514","694.6384","676.81104","706.6982","728.16626","687.3649","733.31775","748.1943","791.9856","834.5317","852.9298","919.40857","962.292","1016.21857","1083.69","699.5929","710.8122","744.73456","780.9055","821.2162","859.9356"
"CAN","Canada","20173.936","20160.729","20557.463","21367.203","22555.697","23401.875","23962.5","25167.52","26220.266","27745.807","29265.084","30107.656","30853.201","32225.053","33797","36211.086","37999.04","39439.81","40275.99","38797.387","40012.39","41569.45","42189.195","44188.73","45645.562","44567.867","45011.645","46723.316","48130.258"
"CHE","Switzerland","27594.633","27915.47","28226.227","28596.953","29343.63","29902.52","30542.057","31812.498","32918.555","33814.113","35754.547","36778.01","37718.285","37713.336","39170.03","40572.266","45106.418","49746.39","52584.727","51769.03","53067.727","56183.82","57849.57","60108.52","61902.13","63938.99","64323.926","66395.86","68060.94"
"CHL","Chile","4511.17","4952.5386","5622.7773","6119.3804","6568.781","7351.8286","8011.5713","8637.331","8995.765","8977.117","9553.566","9972.651","10333.063","10841.324","11812.635","12746.583","15753.963","16941.836","16501.807","16159.605","18161.805","20342.57","21507.707","22439.28","22786.656","22688.01","22874.15","24248.861","25222.527"
"CHN","China","987.6412","1100.8143","1270.297","1463.8018","1671.2009","1872.6067","2074.3616","2281.4438","2464.1863","2668.2302","2936.2878","3227.4194","3553.9238","3958.472","4449.562","5081.049","5867.797","6847.07","7615.0293","8352.689","9303.733","10355.496","11328.281","12361.398","13446.402","14454.998","15513.273","16782.207","18236.613"
"CIV","Cote d'Ivoire","2132.1025","2127.064","2093.9922","2065.449","2054.858","2173.9482","2309.184","2361.9604","2432.5627","2438.2866","2378.6106","2376.2073","2321.4019","2283.588","2324.958","2387.6218","2443.8516","2498.336","2553.8381","2596.8975","2618.3188","2495.495","2747.9006","2970.2024","3211.0999","3444.4497","3665.5505","3921.7134","4207.087"
"CMR","Cameroon","1949.2806","1881.3043","1810.5907","1658.1044","1681.522","1728.1522","1787.7944","1863.9125","1919.0089","1978.0333","2039.9343","2119.0588","2184.9824","2265.806","2418.5881","2476.2993","2568.4424","2691.8972","2762.9421","2767.9749","2817.5728","2914.2375","3021.4092","3153.6824","3311.734","3442.7344","3546.5447","3644.801","3785.08"
"COD","Congo, Dem. Rep.","900.01636","821.3396","723.1402","616.1099","583.1345","580.448","568.86926","532.8406","517.9978","491.32037","455.8151","443.5747","450.4504","469.77042","498.97986","528.9748","555.8","586.99524","615.07196","616.6586","646.2954","682.0073","719.91425","768.6449","829.3627","867.0884","868.61334","888.6773","932.172"
"COG","Congo, Rep.","3454.245","3557.6208","3632.2986","3581.3606","3361.735","3469.894","3581.4917","3517.6157","3584.6838","3441.3547","3677.1477","3790.969","3914.8994","3906.1252","4028.3123","4337.1943","4591.9956","4483.927","4663.0117","4886.384","5214.503","5353.804","5518.9673","5667.5957","6017.672","6089.84","5833.9956","5614.399","5662.0635"
"COL","Colombia","5015.5464","5186.2075","5412.46","5727.8145","6074.7026","6406.062","6539.866","6762.756","6763.0103","6465.194","6694.813","6848.2783","7022.7397","7324.401","7811.23","8320.569","9036.314","9792.903","10188.017","10274.49","10732.749","11650.199","12226.286","12891.379","13618.124","14006.153","14259.609","14507.262","15012.931"
"COM","Comoros","1674.5526","1590.3334","1714.4713","1756.24","1651.2982","1698.5913","1661.1123","1711.1881","1706.9636","1720.0018","1900.656","1939.2765","1967.6443","1998.1685","2042.2698","2114.657","2183.4905","2206.5593","2283.897","2318.4302","2376.5388","2465.325","2531.038","2627.344","2668.8953","2664.271","2719.2961","2812.0347","2913.3872"
"CPV","Cabo Verde","1087.7227","1113.0266","1229.0847","1329.3021","1573.6176","1788.0217","1979.9471","2189.716","2441.6804","2702.8992","3101.0024","3183.8193","3348.3496","3497.8533","3900.336","4240.265","4655.6455","5437.71","5841.0586","5741.2183","5821.7397","6102.412","6207.3613","6285.9697","6362.9604","6415.6123","6709.11","7005.9585","7454.064"
"CRI","Costa Rica","5025.561","5176.081","5632.3896","6017.437","6261.0522","6493.04","6533.765","6852.945","7247.0107","7481.173","7787.378","8089.5796","8349.671","8732.229","9220.889","9737.089","10609.507","11625.931","12240.579","12058.523","12644.696","13302.929","14041.994","14445.898","15067.312","15610.88","16278.602","16976.188","17671.096"
"CUB","Cuba","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CYP","Cyprus","13314.671","13512.39","14722.492","14814.701","15695.772","17069.605","17297.422","17778.758","18758.53","19662.744","21291.473","22871.383","23556.414","24252.898","25921.205","27763.178","29984.186","32849.94","34824.082","33888.285","33230.8","33192.336","31914.684","30620.861","30390.607","31578.354","33682.48","36155.48","0"
"CZE","Czech Republic","12659.853","11595.619","11787.74","12061.949","12673.352","13752.514","14583.434","14730.615","14906.398","15324.106","16190.805","17554.488","18189.234","19426.086","20799.158","21956.385","23776.486","26124.895","27844.795","27599.3","27667.434","28797.418","29047.246","30485.715","32263.316","33691.426","35230.523","38019.582","39743.598"
"DEU","Germany","19496.787","21031.95","21762.855","21863.312","22759.998","23528.148","24047.762","24570.113","25344.646","26291.21","27202.793","28380.385","29178.637","29875.027","31305.287","31794.096","34124.875","36252.41","37802.387","36823.38","38949.55","42541.53","43359.613","44993.895","47011.55","47683.79","49516.082","52055.31","53074.54"
"DJI","Djibouti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DMA","Dominica","4320.7124","4529.8677","4715.7583","4911.8813","5003.4985","5259.1357","5534.324","5780.2456","6101.677","6242.865","6549.0894","6687.4795","6584.4507","7106.074","7489.8755","7751.066","8342.415","9100.901","9934.093","9889.384","10068.068","10249.8955","10328.73","10397.441","11054.632","10857.202","11236.952","10649.419","11129.861"
"DNK","Denmark","18215.51","19044.463","19794.111","20197.844","21655.934","22661.049","23711.014","24925.799","25813.639","26653.824","28662.096","29449.62","30640.346","30786.248","32908.68","34150.16","37295.66","38968.516","41278.33","40339.676","42999.617","44403.387","44803.97","46726.855","47901.45","49058.5","50877.45","54282.547","55671.164"
"DOM","Dominican Republic","3579.193","3664.8281","4091.3257","4414.404","4543.2827","4817.2925","5111.461","5569.409","5915.1284","6258.7866","6595.772","6803.999","7117.6973","7051.0234","7324.228","8152.86","9049.399","9853.172","10236.545","10283.161","11132.9375","11580.568","11979.702","12634.965","13623.118","14555.741","15519.617","16370.956","17748.186"
"DZA","Algeria","6683.9424","6661.1396","6774.466","6640.167","6583.1724","6844.6396","7129.638","7214.8726","7553.947","7797.015","8162.5874","8480.07","8981.35","9682.476","10234.931","11022.147","11380.095","11897.104","12218.048","12294.612","12655.138","13046.129","13482.721","13823.828","14326.283","14711.221","15036.364","15207.179","15481.788"
"ECU","Ecuador","4842.701","5100.8877","5206.308","5313.185","5533.2725","5651.891","5730.9893","5955.771","6093.6064","5773.2944","5854.3374","6110.459","6348.925","6530.517","7135.986","7619.034","8059.1313","8316.568","8868.9375","8841.984","9114.338","9883.58","10483.134","11028.429","11484.172","11431.991","11222.078","11501.011","11734.388"
"EGY","Egypt, Arab Rep.","3827.2776","3911.3457","4090.919","4221.97","4394.2812","4601.4443","4821.409","5071.0205","5307.0415","5598.3296","5971.6685","6199.41","6327.811","6528.6753","6852.15","7249.4526","7839.8423","8471.344","9091.001","9411.305","9814.299","9982.846","10172.983","10340.542","10601.167","10938.862","11294.249","11742.05","12412.31"
"ERI","Eritrea","0","0","1053.0431","1233.3978","1540.9713","1628.6842","1818.4646","1997.2871","2045.0854","2046.1688","1977.5607","2121.7021","2124.8884","2009.7397","2002.328","2037.7928","2013.8892","2042.6648","1838.043","1888.6152","1921.4348","2102.954","0","0","0","0","0","0","0"
"ESP","Spain","13664.44","14449.384","14843.106","14960.269","15569.578","16262.451","16958.08","17910.873","19096.299","19954.291","21587.256","22958.762","24371.6","25018.365","26119.793","27606.934","30688.367","32438.174","33263.273","32098.975","31680.186","31867.973","31720.12","32434.004","33525.742","34912.477","36554.934","38888.734","39715.438"
"EST","Estonia","0","0","0","5795.935","5948.3345","6462.3066","6874.4844","7968.174","8438.284","8419.571","9435.009","10326.18","11670.365","13122.839","14521.298","16624.912","19313.264","22170.252","22830.09","20597.934","21796.61","24780.979","26190.553","27642.586","29135.705","29397.129","30913.205","33675.457","35973.777"
"ETH","Ethiopia","424.82397","393.68594","354.76785","396.47174","403.57797","422.97775","469.1492","477.48636","452.66208","469.12802","494.2873","531.5338","532.62665","515.8733","584.89685","655.7867","728.3905","811.0643","891.2764","950.5543","1052.6067","1161.5814","1250.3512","1367.7141","1494.112","1621.7067","1746.1627","1897.249","2022.138"
"FIN","Finland","18139.287","17544.62","17248.92","17449.557","18449.305","19556.547","20062.174","21792.217","23576.566","24767.281","26788.408","27807.32","28605.123","29019.31","31173.322","32051.795","34419.38","37801.785","40083.7","37980.066","38953.36","40916.84","40873.094","41493.14","41757.402","42535.477","44015.53","46735.41","48416.938"
"FJI","Fiji","3823.297","3810.1636","4084.3477","4210.821","4457.2227","4605.4033","4858.6885","4782.8228","4854.0903","5316.664","5312.1284","5517.3604","5774.5303","5934.6245","6403.402","6618.7847","6892.837","6947.962","7078.6274","6965.539","7202.7583","7520.3735","7758.2188","8262.957","8882.389","9372.542","9670.841","10329.438","10879.479"
"FRA","France","17624.238","18309.473","18931.87","19175.312","19972.18","20745.459","21331.451","22241.412","23359.059","24307.498","26094.252","27501.543","28523.885","28141.46","29034","30498.58","32434.86","34088.36","35095.26","34685.17","35900.047","37440.637","37679.12","39523.855","40141.586","40833.242","42047.29","44255.94","45342.395"
"FSM","Micronesia, Fed. Sts.","1770.814","1917.509","1987.122","2146.3264","2136.9475","2302.246","2253.1978","2149.976","2241.7703","2314.5273","2489.404","2604.7056","2663.9336","2759.3884","2753.505","2910.789","3018.0007","3069.1692","3080.0798","3154.7927","3265.6929","3422.2893","3388.2249","3276.3005","3215.1743","3354.5083","3380.7373","3497.9175","3553.0615"
"GAB","Gabon","12690.819","13546.789","13068.479","13538.787","13968.572","14588.714","15006.949","15740.316","16066.724","14483.921","14182.23","14453.967","14301.433","14537.389","14655.945","15106.778","14708.233","15549.514","14863.568","14514.773","15190.414","16011.124","16536.566","17116.344","17548.271","17819.56","17839.896","17762.408","17875.762"
"GBR","United Kingdom","16698.342","17022.742","17428.602","18248.57","19312.178","20522.314","21851.848","23039.947","23637.002","24414.686","26407.209","27756.812","29068.594","30261.578","31964.596","32668.227","34767","35600.008","36660.19","35003.496","36340.734","37161.492","38311.848","39971.023","41259","42509.887","43543.586","45378.996","45973.574"
"GEO","Georgia","5413.8013","4384.9844","2452.122","1761.1377","1636.6779","1780.0917","2090.2114","2426.5125","2593.391","2762.576","2932.7334","3190.1885","3448.844","3927.811","4293.788","4883.0425","5536.087","6433.362","6737.5586","6599.4473","7145.52","7897.6963","8627.623","9122.49","9699.506","10081.436","10480.966","11191.336","12004.574"
"GHA","Ghana","1233.4506","1304.1931","1346.1846","1404.2397","1440.8604","1490.8469","1547.2363","1599.0779","1651.7499","1706.9957","1765.9353","1831.441","1897.1295","1983.4764","2098.1567","2234.2014","2387.3586","2492.898","2703.3027","2784.1382","2964.4312","3368.8008","3664.6","3909.6694","4006.1865","4044.4133","4135.645","4457.356","4746.685"
