"iso_code","country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"CAF","Central African Republic","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","33.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","50.6","36.8","36.8","36.8","36.8","36.8","36.8","36.8","36.8","37.4"
"CAN","Canada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHE","Switzerland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CHL","Chile","91.1","91.1","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","94.3","95.7","95.7","95.7","95.7","95.7","95.7","98.6","98.6","98.6","96.7","96.7","96.3","96.3","96.9","96.9","96.4","96.4"
"CHN","China","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","77.8","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","95.1","95.1","95.1","95.1","95.1","95.1","95.1","95.1","96.8"
"CIV","Cote d'Ivoire","34.1","34.1","34.1","34.1","34.1","34.1","34.1","34.1","36.4","36.4","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","48.7","41","41","43.9","43.9","43.9","43.9","47.2"
"CMR","Cameroon","41.2","41.2","41.2","41.2","41.2","41.2","41.2","41.2","41.2","41.2","68.4","68.4","68.4","68.4","68.4","68.4","68.4","70.7","70.7","70.7","71.3","71.3","71.3","71.3","71.3","71.3","71.3","71.3","77.1"
"COD","Congo, Dem. Rep.","0","0","0","0","0","0","0","0","0","0","0","67.2","67.2","67.2","67.2","67.2","67.2","61.2","61.2","61.2","61.2","61.2","75","75","75","75","77","77","77"
"COG","Congo, Rep.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.3","79.3","79.3","79.3","79.3","79.3","79.3","80.3"
"COL","Colombia","0","0","0","91.1","91.1","91.1","91.2","91.2","91.2","91.2","91.2","91.2","91.2","91.2","92.8","92.8","92.3","92.7","93.4","93.2","93.4","93.6","93.6","93.6","94.2","94.2","94.7","94.7","95.1"
"COM","Comoros","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","47.9","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","68.5","49.2","49.2","49.2","49.2","49.2","49.2","58.8"
"CPV","Cabo Verde","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","62.8","81","81","81","81","81","81","81","81","85.3","85.3","85.3","86.8","86.8","86.8","86.8"
"CRI","Costa Rica","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","92.6","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","94.9","97.4","97.4","97.4","97.4","97.4","97.4","97.4","97.9"
"CUB","Cuba","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","97.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8","99.8"
